"Year","Female","Male","Total"
1960,22607614,22604000,45211614
1961,23067404,23076750,46144154
1962,23547220,23570639,47117859
1963,24045062,24083398,48128460
1964,24558050,24611769,49169819
1965,25084618,25153951,50238569
1966,25625403,25710972,51336375
1967,26182928,26285665,52468593
1968,26760024,26880523,53640547
1969,27360411,27498790,54859201
1970,27987753,28144091,56131844
1971,28640396,28813338,57453734
1972,29320178,29509141,58829319
1973,30038167,30247286,60285453
1974,30808628,31048395,61857023
1975,31640397,31925201,63565598
1976,32539871,32887105,65426976
1977,33500711,33924724,67425435
1978,34503300,35008933,69512233
1979,35520171,36099045,71619216
1980,36531759,37166337,73698096
1981,37530380,38199192,75729572
1982,38522261,39207541,77729802
1983,39518750,40210561,79729311
1984,40537585,41237630,81775215
1985,41591588,42309982,83901570
1986,42684187,43433856,86118043
1987,43810846,44602071,88412917
1988,44967052,45806561,90773613
1989,46145484,47034271,93179755
1990,47341124,48276221,95617345
1991,48553919,49531517,98085436
1992,49786995,50805463,100592458
1993,51042380,52102713,103145093
1994,52323042,53430046,105753088
1995,53631778,54793044,108424822
1996,54970342,56194309,111164651
1997,56340345,57634710,113975055
1998,57744480,59116211,116860691
1999,59185740,60640491,119826231
2000,60667141,62209582,122876723
2001,62190149,63824786,126014935
2002,63757311,65488972,129246283
2003,65373969,67207515,132581484
2004,67046458,68986863,136033321
2005,68779527,70831776,139611303
2006,70574563,72743448,143318011
2007,72431259,74721243,147152502
2008,74350228,76765455,151115683
2009,76331455,78875690,155207145
2010,78374057,81050685,159424742
2011,80479209,83291460,163770669
2012,82644810,85595593,168240403
2013,84862520,87953997,172816517
2014,87121283,90354703,177475986
2015,89413012,92788950,182201962
2016,91734487,95253076,186987563
2017,94087276,97748660,191835936
2018,96474092,100278748,196752840
2019,98899786,102848774,201748560
2020,101368106,105462877,206830983
